"values","names"
"-0.28564396417941","products"
"-0.191702942024212","client.portal"
"-0.12277446988481","business"
"-0.099109611417467","audio"
"-0.0983514672898414","pellentesqu"
"-0.0961585100841413","cost"
"-0.0922257273056905","usa"
"-0.0777891207547205","unit.state"
"-0.0761173221602706","subscript"
"-0.0675637103659421","tax.plan"
"-0.0594896349931286","send"
"-0.0591799236956487","retail"
"-0.0511082514920001","integrity"
"-0.0461171752846013","veterinari"
"-0.0444930282512999","dealer"
"-0.0413906042440823","construct.project"
"-0.0394455712258541","phone.system"
"-0.0376351503728897","solid"
"-0.0349001248308097","auto"
"-0.0307452892884708","build"
"-0.0226279282275865","systems"
"-0.0217304192779343","stand"
"-0.0216210698769022","branch"
"-0.0208508228935301","engin"
"-0.0178072965816705","open"
"-0.0163037400895599","beyond"
"-0.0152522107686081","design"
"-0.0151253090407505","let"
"-0.0147662177988353","digit"
"-0.0147493384990102","handl"
"-0.0140992987298579","plant"
"-0.0124748624485655","anim.hospit"
"-0.00887227748962892","direct"
"-0.00834174235788107","leverag"
"-0.00825528574807036","autom"
"-0.00792452272061122","claim"
"-0.00769989088893682","intellig"
"-0.0067209638086748","tortor"
"-0.00647762834808006","services.inc"
"-0.00636365188407182","market"
"-0.00414987616169245","client"
"-0.00386814015617593","read"
"-0.0036714361791748","english"
"-0.00220738180804118","agent"
"-0.00210019473527757","construct"
"-0.00174605970736211","data"
"-0.00109304586048386","car"
"-0.000763912786699213","tech"
"-2.32754250846261e-06","truck"
"0.000141616101425398","skill.nurs"
"0.000996553584143783","devic"
"0.00191862627151249","locat"
"0.00237829679170097","icd"
"0.0026571578728673","patient.portal"
"0.00354353970166615","care.servic"
"0.00368830486048235","medic"
"0.00371432030335096","bill"
"0.00404801703971603","cosmet"
"0.00444093750804257","graduat"
"0.00506037137569892","anesthesia"
"0.00554979866615522","physician"
"0.00570055383718648","new.patient"
"0.00583211921679668","ehr"
"0.00586298793829904","care"
"0.00641182379594519","procedur"
"0.00641234699691524","decemb"
"0.00779256880486119","sustain"
"0.00867992023080182","eat"
"0.00937696409814361","qualiti"
"0.00985282109270642","tooth"
"0.0116224299181486","dds"
"0.0124744715698604","athlet"
"0.0155431486409216","research"
"0.0158341098636422","disclaim"
"0.0159284059904775","diagnost"
"0.0172138699081032","home.care"
"0.0203321577131241","colleg"
"0.0281958442431082","patient"
"0.0332529869868803","maintain"
"0.036609804337741","adam"
"0.0421962373005922","healthcar"
"0.0580927279071838","chronic"
"0.058383402910762","make.appoint"
"0.0603320438387954","health.insur"
"0.0679590388882215","home.health"
"0.0858278501386109","highest.qualiti"
"0.113877014030764","februari"
"0.153668103710816","church"
"0.566864856844338","(Intercept)"
