"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","classifier","kwset"
0.849315068493151,0.60655737704918,0.607843137254902,0.848623853211009,0.41793893129771,0.354961832061069,0.583969465648855,0.727936222771165,"knn","lasso"
0.867579908675799,0.59344262295082,0.605095541401274,0.861904761904762,0.41793893129771,0.362595419847328,0.599236641221374,0.730511265813309,"knn","t100"
0.643835616438356,0.819672131147541,0.719387755102041,0.76219512195122,0.41793893129771,0.269083969465649,0.374045801526718,0.731753873792949,"knn","t50b50"
0.844748858447489,0.629508196721312,0.620805369127517,0.849557522123894,0.41793893129771,0.353053435114504,0.568702290076336,0.7371285275844,"knn","t10"
0.881278538812785,0.59672131147541,0.610759493670886,0.875,0.41793893129771,0.368320610687023,0.603053435114504,0.738999925144098,"lpm","lasso"
0.894977168949772,0.531147540983607,0.578171091445428,0.875675675675676,0.41793893129771,0.374045801526718,0.646946564885496,0.713062354966689,"lpm","t100"
0.493150684931507,0.855737704918033,0.710526315789474,0.701612903225806,0.41793893129771,0.206106870229008,0.290076335877863,0.67444419492477,"lpm","t50b50"
0.863013698630137,0.60983606557377,0.613636363636364,0.861111111111111,0.41793893129771,0.360687022900763,0.587786259541985,0.736424882101954,"lpm","t10"
0.881278538812785,0.59672131147541,0.610759493670886,0.875,0.41793893129771,0.368320610687023,0.603053435114504,0.738999925144098,"lda","lasso"
0.899543378995434,0.527868852459016,0.577712609970675,0.879781420765027,0.41793893129771,0.375954198473282,0.650763358778626,0.713706115727225,"lda","t100"
0.493150684931507,0.852459016393443,0.705882352941176,0.700808625336927,0.41793893129771,0.206106870229008,0.291984732824427,0.672804850662475,"lda","t50b50"
0.863013698630137,0.60983606557377,0.613636363636364,0.861111111111111,0.41793893129771,0.360687022900763,0.587786259541985,0.736424882101954,"lda","t10"
0.858447488584475,0.626229508196721,0.622516556291391,0.86036036036036,0.41793893129771,0.358778625954198,0.576335877862595,0.742338498390598,"rf","lasso"
0.835616438356164,0.721311475409836,0.682835820895522,0.859375,0.41793893129771,0.349236641221374,0.511450381679389,0.778463956883,"rf","t100"
0.634703196347032,0.836065573770492,0.735449735449735,0.761194029850746,0.41793893129771,0.265267175572519,0.360687022900763,0.735384385058762,"rf","t50b50"
0.82648401826484,0.665573770491803,0.639575971731449,0.842323651452282,0.41793893129771,0.345419847328244,0.540076335877863,0.746028894378322,"rf","t10"
0.894977168949772,0.580327868852459,0.604938271604938,0.885,0.41793893129771,0.374045801526718,0.618320610687023,0.737652518901115,"svm.l","lasso"
0.835616438356164,0.60327868852459,0.601973684210526,0.836363636363636,0.41793893129771,0.349236641221374,0.580152671755725,0.719447563440377,"svm.l","t100"
0.579908675799087,0.816393442622951,0.693989071038251,0.730205278592375,0.41793893129771,0.24236641221374,0.349236641221374,0.698151059211019,"svm.l","t50b50"
0.922374429223744,0.544262295081967,0.592375366568915,0.907103825136612,0.41793893129771,0.385496183206107,0.650763358778626,0.733318362152856,"svm.l","t10"
0.831050228310502,0.672131147540984,0.645390070921986,0.847107438016529,0.41793893129771,0.347328244274809,0.538167938931298,0.751590687925743,"svm.r","lasso"
0.666666666666667,0.760655737704918,0.666666666666667,0.760655737704918,0.41793893129771,0.278625954198473,0.41793893129771,0.713661202185792,"svm.r","t100"
0.205479452054795,0.898360655737705,0.592105263157895,0.611607142857143,0.41793893129771,0.0858778625954199,0.145038167938931,0.55192005389625,"svm.r","t50b50"
0.844748858447489,0.655737704918033,0.637931034482759,0.854700854700855,0.41793893129771,0.353053435114504,0.553435114503817,0.750243281682761,"svm.r","t10"
